Job Title,Location,Salary,Min_Salary,Max_Salary,Avg_Salary
Cloud Engineer,Hyderabad,110397,99584,184039,141811.5
Game Developer,Bhubaneswar,160549,116519,239456,177987.5
DevOps Engineer,Mumbai,117241,101545,180174,140859.5
Site Reliability Engineer,Bangalore,193765,182988,366115,274551.5
Technical Architect,Chandigarh,326331,186631,380463,283547.0
Android Developer,Pune,97457,67998,137744,102871.0
Data Scientist,Hyderabad,172205,107817,226282,167049.5
Android Developer,Delhi,150641,90498,171225,130861.5
DevOps Engineer,Chennai,60549,52454,97851,75152.5
Software Engineer (Backend),Jaipur,125274,83464,155066,119265.0
iOS Developer,Hyderabad,188684,98593,182351,140472.0
Machine Learning Engineer,Jaipur,129357,86144,182339,134241.5
Cybersecurity Analyst,Chennai,176381,83867,167658,125762.5
Data Scientist,Coimbatore,166803,85540,195405,140472.5
Data Engineer,Delhi,236658,145521,271313,208417.0
Mobile Developer,Kolkata,99042,50482,100183,75332.5
Cloud Engineer,Pune,220765,124091,237950,181020.5
Cloud Engineer,Goa,234213,151507,283801,217654.0
Research Scientist,Bangalore,158864,154942,287309,221125.5
Software Engineer,Hyderabad,310849,205768,402216,303992.0
Cloud Engineer,Pune,337944,204049,359546,281797.5
iOS Developer,Pune,173154,170905,321871,246388.0
Software Engineer (Backend),Delhi,106068,59839,109388,84613.5
Robotics Engineer,Pune,203176,103131,214910,159020.5
Software Engineer,Pune,271431,180476,339208,259842.0
Software Engineer (Backend),Kolkata,152816,104622,185496,145059.0
DevOps Engineer,Chennai,129001,71281,135789,103535.0
Data Scientist,Chennai,120320,110058,230601,170329.5
AI Engineer,Pune,359847,231592,503199,367395.5
Software Engineer,Bangalore,253664,249049,460865,354957.0
UI/UX Designer,Mysore,140619,102935,227713,165324.0
Software Engineer (Backend),Kolkata,138344,83412,155903,119657.5
Cloud Engineer,Pune,154989,84335,158435,121385.0
Full Stack Developer,Chennai,110146,64165,120240,92202.5
DevOps Engineer,Delhi,101120,67648,118660,93154.0
Full Stack Developer,Hyderabad,404371,304662,568894,436778.0
Full Stack Developer,Chennai,115684,76513,153082,114797.5
System Administrator,Mumbai,157227,151558,293195,222376.5
Software Engineer (Backend),Hyderabad,188303,127098,225792,176445.0
Cybersecurity Analyst,Nagpur,95422,54222,102239,78230.5
Research Scientist,Mumbai,184953,169790,346912,258351.0
Machine Learning Engineer,Pune,421852,218739,448708,333723.5
Lead Data Scientist,Pune,267342,224989,435466,330227.5
Cybersecurity Analyst,Kolkata,222278,123699,240889,182294.0
Data Scientist,Hyderabad,214530,93692,212461,153076.5
Senior Software Engineer,Lucknow,159296,113688,202279,157983.5
Software Engineer (Frontend),Bangalore,174058,112981,184722,148851.5
Data Scientist,Hyderabad,326734,164626,342579,253602.5
Cybersecurity Analyst,Mumbai,119022,64104,125165,94634.5
Machine Learning Engineer,Chennai,90725,57508,129415,93461.5
Computer Vision Engineer,Mumbai,147050,120360,264185,192272.5
Data Scientist,Chennai,171972,141703,298198,219950.5
Product Manager,Trivandrum,209923,178219,378214,278216.5
AR/VR Engineer,Nagpur,140662,118758,234291,176524.5
Cloud Engineer,Hyderabad,108923,90869,176692,133780.5
Software Engineer,Goa,119256,105208,195874,150541.0
Computer Vision Engineer,Lucknow,83442,69854,145899,107876.5
Cybersecurity Analyst,Indore,132399,110165,213967,162066.0
Software Engineer,Bangalore,514966,275676,484805,380240.5
Machine Learning Engineer,Chennai,256172,125074,273341,199207.5
DevOps Engineer,Bangalore,191569,161179,282811,221995.0
Android Developer,Delhi,149509,114178,224875,169526.5
Machine Learning Engineer,Goa,78910,61875,130982,96428.5
Software Engineer (Backend),Noida,80270,51498,100728,76113.0
Cloud Engineer,Bangalore,144254,96067,186308,141187.5
UI/UX Designer,Ahmedabad,57098,52891,114160,83525.5
Research Scientist,Kochi,274578,155650,309502,232576.0
Machine Learning Engineer,Pune,124930,67481,139542,103511.5
Principal Engineer,Hyderabad,218395,170816,341677,256246.5
Site Reliability Engineer,Pune,154910,110125,227454,168789.5
Technical Architect,Coimbatore,529594,342216,668366,505291.0
Software Engineer (Backend),Kochi,94858,61973,114566,88269.5
Blockchain Developer,Lucknow,145158,95143,184493,139818.0
Software Engineer (Backend),Mumbai,456694,272648,501771,387209.5
Software Engineer (Frontend),Mumbai,158620,140811,253494,197152.5
Software Engineer,Delhi,80758,62851,124463,93657.0
DevOps Engineer,Pune,111348,102764,214554,158659.0
Data Scientist,Pune,270676,159483,329498,244490.5
Cloud Engineer,Mumbai,261543,198605,356242,277423.5
DevOps Engineer,Lucknow,42728,38200,74070,56135.0
System Administrator,Hyderabad,118287,72926,139400,106163.0
Cloud Engineer,Delhi,137050,90420,170744,130582.0
Cloud Engineer,Pune,169634,136097,251780,193938.5
Data Scientist,Chandigarh,149001,68989,156683,112836.0
System Administrator,Gurgaon,250769,141756,288289,215022.5
AR/VR Engineer,Mumbai,398293,227304,491202,359253.0
Data Scientist,Bangalore,178898,132344,291412,211878.0
Full Stack Developer,Hyderabad,264763,172110,300840,236475.0
Machine Learning Engineer,Bangalore,285113,126653,278213,202433.0
Technical Architect,Visakhapatnam,146849,87362,176011,131686.5
Cloud Engineer,Noida,320389,185867,348762,267314.5
Information Security Engineer,Trivandrum,100489,62962,121313,92137.5
Data Engineer,Bangalore,118858,84495,155102,119798.5
Network Engineer,Pune,218445,183948,359379,271663.5
Senior Software Engineer,Mumbai,337832,285752,520111,402931.5
Lead Data Scientist,Hyderabad,394444,269092,487725,378408.5
Cloud Engineer,Chennai,240825,147955,290781,219368.0
Network Engineer,Hyderabad,165097,91363,181154,136258.5
Cloud Engineer,Hyderabad,245090,170587,333752,252169.5
Database Administrator,Visakhapatnam,261595,121991,252787,187389.0
Blockchain Developer,Chandigarh,341992,189276,371986,280631.0
Machine Learning Engineer,Mysore,129554,105999,220071,163035.0
Database Administrator,Bangalore,115398,104509,209793,157151.0
Cybersecurity Analyst,Ahmedabad,92439,78190,148711,113450.5
Software Engineer (Backend),Bangalore,292773,214750,366594,290672.0
Technical Writer,Bangalore,130747,103122,225980,164551.0
UI/UX Designer,Chennai,202005,161605,376479,269042.0
Cloud Engineer,Bangalore,317355,235109,442794,338951.5
Full Stack Developer,Gurgaon,147353,101889,204228,153058.5
Principal Engineer,Delhi,219637,179927,353152,266539.5
Cloud Engineer,Chennai,97357,90947,163184,127065.5
