Job Title,Location,Salary,Min_Salary,Max_Salary,Avg_Salary
Cloud Engineer,Kolkata,323623,301107,363606,332356.9780720165
Software Engineer (Frontend),Bangalore,57641,54570,60710,57640.0
Software Engineer (Frontend),Ahmedabad,288460,258933,355308,307121.14019963436
Machine Learning Engineer,Bangalore,145041,136844,158768,147806.57591194185
Software Engineer (Frontend),Chennai,66149,62152,90797,76474.848962875
Software Engineer (Frontend),Goa,162007,116216,199810,158013.4208889305
Technical Writer,Coimbatore,5178137,509235,1377707,943471.3170248925
Software Engineer (Frontend),Bangalore,209011,188983,238035,213509.7498406708
AI Engineer,Trivandrum,401148,94236,331740,212988.1377263322
Software Engineer,Delhi,55355,44128,74953,59540.70141062136
Data Scientist,Bangalore,254813,191743,343146,267445.16748776694
Data Scientist,Bhubaneswar,63433,47426,88525,67975.81868970091
Machine Learning Engineer,Bangalore,111915,96558,130556,113557.5282715132
Machine Learning Engineer,Bangalore,167028,156351,199628,177989.78543063736
Software Engineer,Goa,67523,59298,65439,62368.87943449113
AI Engineer,Lucknow,6828,5911,8530,7220.782408915088
Software Engineer (Frontend),Bangalore,432121,357089,501929,429509.6696943559
Software Engineer (Backend),Surat,82132,57260,74491,65876.11530786438
AI Engineer,Bangalore,494160,407153,561442,484298.3921578083
Blockchain Developer,Bhubaneswar,13572,7987,22034,15010.779630213554
Machine Learning Engineer,Bangalore,106179,88022,114902,101462.43121973156
AI Engineer,Coimbatore,22043,14160,36591,25376.195802974624
Full Stack Developer,Mysore,239855,172237,297377,234807.61501640538
Mobile Developer,Bangalore,492855,417610,553967,485788.9058565157
Full Stack Developer,Bangalore,176241,168235,197324,182780.22421368476
Software Engineer (Backend),Noida,68368,50461,75070,62765.5
Software Engineer (Frontend),Bangalore,207633,125788,245137,185463.05884026992
AI Engineer,Mumbai,144928,112722,173734,143228.26911251628
Data Scientist,Gurgaon,43779,36720,52286,44503.48812469881
System Administrator,Visakhapatnam,2025,1922,2128,2025.0
Full Stack Developer,Hyderabad,676177,447936,912145,680040.7890389774
AI Engineer,Bangalore,56088,38351,73291,55821.37967458712
Software Engineer,Bangalore,5081370,4549739,5504884,5027311.8510652315
Lead Data Scientist,Bangalore,1202566,767912,1413360,1090636.3547049812
Data Scientist,Chandigarh,349741,222999,507471,365235.788825884
Software Engineer,Bangalore,445472,409332,490457,449894.85725138383
Software Engineer (Frontend),Ahmedabad,116573,84136,123331,103733.73737285697
Machine Learning Engineer,Chennai,194006,170862,223444,197153.55658840906
Embedded Systems Engineer,Bangalore,189900,113063,266736,189899.83045824457
AI Engineer,Bangalore,234692,187809,285043,236426.4735999483
Data Scientist,Bangalore,7561,2498,20157,11327.720298711012
Data Scientist,Trivandrum,177424,82868,270125,176496.91994187786
Software Engineer (Frontend),Kochi,227308,214562,275839,245200.97156707727
Software Engineer,Bangalore,598715,493862,694651,594257.2775896634
Software Engineer,Bangalore,74840,44215,103122,73669.08105529528
Full Stack Developer,Mumbai,304622,224113,373328,298721.2977654433
Technical Writer,Kolkata,532451,299163,893797,596480.7105965987
Data Scientist,Bangalore,130577,80379,164216,122297.5900574103
Data Scientist,Hyderabad,126330,76300,186097,131199.0725858221
Software Engineer,Delhi,201453,196008,214063,205036.14179957437
Software Engineer (Backend),Ahmedabad,77757,63069,90229,76649.0
Software Engineer,Kolkata,394727,361354,382286,371820.687108617
DevOps Engineer,Hyderabad,180498,12346,12479,12412.665137047297
Data Engineer,Bhubaneswar,40099,31130,54004,42567.38712054176
Robotics Engineer,Mumbai,184038,159707,201184,180446.08166637068
Full Stack Developer,Hyderabad,116034,103688,128464,116076.69894859931
Software Engineer,Bangalore,38200,27453,56797,42125.313458051714
Database Administrator,Delhi,189074,164231,211530,187880.81266544358
Software Engineer (Frontend),Visakhapatnam,21963,23824,24013,23919.175972542416
Data Scientist,Hyderabad,103214,83468,117560,100514.22474947019
Data Scientist,Trivandrum,43800,34656,53648,44152.45452268766
Software Engineer (Frontend),Mumbai,4176677,2895593,5455419,4175506.625161223
Software Engineer (Backend),Bangalore,29822,493355,1129564,811459.5
Full Stack Developer,Hyderabad,1081,983,1242,1112.8796749069154
AI Engineer,Hyderabad,967931,629132,1193302,911217.6318125629
AI Engineer,Bangalore,1638575,1160487,1897659,1529073.6537484012
AI Engineer,Ahmedabad,130835,88927,203373,146150.3419674632
AI Engineer,Bangalore,2247654,529067,3834525,2181796.5854164246
Blockchain Developer,Mumbai,1148576,523296,1927752,1225524.353189573
AI Engineer,Bhubaneswar,45826,44325,54584,49455.14086809568
AI Engineer,Bhubaneswar,206833,167801,255439,211620.32309522154
Machine Learning Engineer,Lucknow,137732,122089,157890,139990.16476450072
Data Scientist,Hyderabad,326032,301446,353893,327669.83271408087
Principal Engineer,Visakhapatnam,43458,17383,108645,63014.1
Machine Learning Engineer,Mysore,87629,82307,101137,91722.17819060328
AI Engineer,Bangalore,12645,112155,146319,129237.78267568912
Data Scientist,Hyderabad,11446,8779,13291,11035.402986684912
QA Engineer,Noida,21573,12526,32612,22569.09781002756
Cybersecurity Analyst,Jaipur,79424,125204,329567,165213.95978467647
Full Stack Developer,Bangalore,39301,31722,44573,38147.990199524735
Software Engineer,Gurgaon,28496,30155,29524,29840.06080385001
Site Reliability Engineer,Jaipur,43365,30213,56816,43514.693973971036
Software Engineer (Frontend),Goa,54766,45803,63728,54765.5
AI Engineer,Bangalore,685779,491126,910126,700626.4214910985
Data Scientist,Surat,896043,614733,1175804,895268.8671176763
Principal Engineer,Hyderabad,640557,530991,698767,614879.331560171
Principal Engineer,Hyderabad,17777,15222,20781,18002.298136726196
Machine Learning Engineer,Mysore,203233,180904,243652,212278.28305366804
Software Engineer (Backend),Gurgaon,9789,8388,12142,10265.522748557716
Data Scientist,Coimbatore,2388264,2025643,2974996,2500319.8242020914
Full Stack Developer,Hyderabad,12106,11349,14556,12953.463639873866
Full Stack Developer,Surat,264354,231146,380622,305884.3959814992
AI Engineer,Nagpur,1415214,881294,2189798,1535546.6370756933
Machine Learning Engineer,Ahmedabad,192228,171694,223897,197796.21220043767
Technical Architect,Bangalore,105604,56381,154825,105603.0
AI Engineer,Mumbai,187366,68663,269485,169074.52522430217
AI Engineer,Bhubaneswar,232215,194659,279727,237193.31391205778
Senior Software Engineer,Hyderabad,360891,225189,512545,368867.55388728506
Software Engineer (Frontend),Chennai,161035,169230,203798,186514.3000864962
Software Engineer,Mysore,233934,218450,248126,233288.8082455747
AI Engineer,Surat,854388,716882,926199,821540.752132855
Software Engineer,Trivandrum,338299,311220,346933,329076.515577914
Senior Software Engineer,Surat,95733,95480,105711,100596.39779490927
Software Engineer (Frontend),Surat,57751,52432,63069,57750.5
Full Stack Developer,Bangalore,326902,280879,452110,366494.99399138323
Data Scientist,Kochi,1012948,627122,1409268,1018195.8036830765
Lead Data Scientist,Nagpur,78032,45575,108314,76945.19884206683
Embedded Systems Engineer,Noida,41269,31520,51016,41512.46359478632
AI Engineer,Visakhapatnam,16888,11688,23167,17427.958577012963
AI Engineer,Ahmedabad,83251,49372,132361,90866.8206301925
Research Scientist,Ahmedabad,88205,49325,130909,90117.50315719933
iOS Developer,Kochi,46003,31612,64225,47919.04491136546
Data Scientist,Jaipur,90970,47501,112639,80070.32087868448
Android Developer,Goa,44949,25294,64603,51052.734813561765
AI Engineer,Delhi,385648,328737,464718,396728.20012921956
Data Scientist,Mumbai,6213,2750,9615,6182.561142421508
iOS Developer,Indore,236977,122687,398965,260826.23299947468
Data Engineer,Hyderabad,50518,38910,61663,50286.702247612986
Software Engineer (Frontend),Mumbai,55190,60527,67822,64174.90930153837
Cloud Engineer,Pune,108130,96245,124164,110204.77072595645
Software Engineer,Bangalore,90517,76145,104091,90118.1468720655
AI Engineer,Kochi,212521,161862,254769,208315.90286658704
Software Engineer,Bhubaneswar,77890,61964,91801,76883.04437794804
Technical Writer,Hyderabad,84460,67190,101726,84458.62170326109
Android Developer,Coimbatore,28993,21151,30800,25975.797688957133
AI Engineer,Delhi,52441,42424,54885,48655.00349574466
Software Engineer (Backend),Delhi,485497,421759,738242,580000.8264359413
Software Engineer (Backend),Mumbai,297198,191313,380771,286042.1640042681
AR/VR Engineer,Bangalore,254572,204830,272127,238478.92162155686
AI Engineer,Hyderabad,48882,24217,80771,52494.24453651242
Data Scientist,Goa,121970,101589,141770,121679.60785820028
Software Engineer,Bangalore,216040,216404,252191,234297.95386867144
Technical Architect,Chandigarh,192936,132126,220886,176506.44440246915
Software Engineer,Indore,568517,345689,676285,510987.6165609549
Software Engineer (Backend),Goa,85429,80355,90502,85428.5
Software Engineer (Frontend),Hyderabad,191583,177245,205919,191582.0
Software Engineer,Bhubaneswar,384265,356489,382976,369733.0393155771
Junior Developer,Pune,216354,182751,236673,209712.16802426765
Software Engineer,Chennai,35486,27194,45989,36592.117133154
Site Reliability Engineer,Hyderabad,24718,11478,31196,21337.56440849488
Full Stack Developer,Indore,302519,266393,340905,303649.9715886631
AI Engineer,Bangalore,1650156,920291,2731145,1825718.5351918475
AI Engineer,Jaipur,60080,50542,75066,62804.48752602898
Machine Learning Engineer,Bangalore,105635,98393,115987,107190.64855129094
Full Stack Developer,Bhubaneswar,299734,263477,365376,314427.20158039045
Software Engineer,Pune,94182,82848,97710,90279.53024244422
Machine Learning Engineer,Pune,153774,133760,177785,155772.7349478667
Site Reliability Engineer,Kochi,551,422,680,551.0
AI Engineer,Bangalore,9334,7750,10464,9107.506853363158
Software Engineer,Mumbai,262926,177709,384678,281193.81563740154
Machine Learning Engineer,Gurgaon,137992,117412,161480,139446.38943885505
AI Engineer,Mumbai,91017,58960,125075,92018.41947332652
Software Engineer (Frontend),Pune,71858,40715,101975,71345.6505821688
AR/VR Engineer,Ahmedabad,16898,10827,26735,18781.486089778642
Software Engineer (Frontend),Trivandrum,125240,79898,133799,106849.29727346913
Software Engineer,Lucknow,372685,316070,542044,429057.222152133
Data Scientist,Bangalore,265540,147008,413407,280207.68233812705
Data Engineer,Bangalore,301206,231205,361724,296464.9150997329
Software Engineer,Coimbatore,199153,154875,222131,188503.58699168434
Software Engineer,Mysore,410192,321335,483336,402335.6991691472
Software Engineer (Frontend),Bangalore,70632,58700,71487,65094.06663749846
Software Engineer (Frontend),Coimbatore,297684,204341,319316,261828.52312571782
Full Stack Developer,Jaipur,22809,13115,28388,20752.045903175804
NLP Engineer,Bhubaneswar,34852,27834,41870,33043.025451713336
Data Scientist,Mumbai,4511,3302,5437,4369.9583147608
Software Engineer,Noida,327430,292655,320913,306784.545718617
iOS Developer,Bangalore,150747,67760,242129,154944.7153045412
Software Engineer,Mumbai,182536,176464,193284,184874.58044945408
Full Stack Developer,Hyderabad,253352,145749,348583,247166.31902896194
DevOps Engineer,Bangalore,487013,401048,536395,468721.85007375205
Software Engineer,Kolkata,452447,390191,564311,477251.22849221504
AI Engineer,Trivandrum,598916,322212,908534,615373.793052925
Machine Learning Engineer,Gurgaon,111049,90883,128206,109544.94429272957
Full Stack Developer,Chandigarh,37947,21651,51077,36364.62587774446
Mobile Developer,Hyderabad,134448,90782,166875,128828.5
Data Scientist,Bhubaneswar,448162,380368,513548,446958.25750303
Software Engineer (Frontend),Gurgaon,343712,248653,458537,353595.82024934265
Full Stack Developer,Indore,80040,60931,99812,80372.21226728446
Full Stack Developer,Bangalore,4300,3567,4648,4107.945352340293
Software Engineer (Frontend),Mumbai,1720164,1034059,2150331,1592195.8227623713
Machine Learning Engineer,Visakhapatnam,110097,97363,117757,107560.34038920613
Full Stack Developer,Kolkata,32209,24593,41712,33153.09789720335
Technical Writer,Coimbatore,60148,56983,63311,60147.801176015135
Software Engineer (Frontend),Lucknow,222763,160889,218709,189799.53961296956
System Administrator,Hyderabad,132798,116275,141967,129121.25306449017
Software Engineer (Frontend),Bangalore,486081,410262,544070,477166.29513633135
Machine Learning Engineer,Gurgaon,110048,94503,120293,107398.5111680452
Research Scientist,Bangalore,1764276,1432754,2143837,1788296.083611793
Full Stack Developer,Indore,27639,25034,30999,28016.97823034764
Machine Learning Engineer,Bangalore,204421,179212,230840,205026.54822141086
Blockchain Developer,Bangalore,1855012,859808,2766572,1813190.5138986276
Junior Developer,Indore,100328,87246,109822,98534.60419213973
Robotics Engineer,Lucknow,48644,45496,55837,50666.93010196788
Full Stack Developer,Bangalore,8683,6949,10284,8617.082652923451
Data Scientist,Mumbai,129030,76963,191196,134080.06626338308
Machine Learning Engineer,Bangalore,226406,188504,265208,226856.42260659536
Data Scientist,Chandigarh,222677,203984,259990,231987.3425085844
Software Engineer,Hyderabad,23171,18910,27063,22987.11905002888
Software Engineer (Backend),Gurgaon,594,580,619,600.2378497366326
Senior Software Engineer,Kochi,339880,196924,440156,318540.36810127157
Software Engineer (Frontend),Hyderabad,147702,141034,154370,147702.0
AI Engineer,Surat,1061502,672273,1428735,1050504.1941599217
AI Engineer,Hyderabad,441098,387252,473698,430475.18740898895
Software Engineer,Lucknow,28701,22593,34596,28595.07715720586
Software Engineer,Bangalore,556510,505896,710034,607965.9160518127
AI Engineer,Mumbai,315682,208443,444449,326446.56264837953
Machine Learning Engineer,Chandigarh,104308,89626,124197,106912.03637882679
Software Engineer,Mumbai,32106,29476,34239,31858.01832357877
Machine Learning Engineer,Coimbatore,212732,196162,230419,213290.85406729032
Software Engineer,Hyderabad,32022,31278,35583,33431.10716933619
AI Engineer,Delhi,9064,5058,13965,9512.118918904547
Software Engineer (Frontend),Jaipur,17178,15937,18419,17178.0
iOS Developer,Hyderabad,27577,49905,63509,56707.70430335557
Software Engineer (Backend),Bangalore,233235,202234,324501,263368.19786704535
Machine Learning Engineer,Bangalore,99997,86162,113743,99953.29355134717
DevOps Engineer,Jaipur,47803,61457,80652,71055.26329655125
Data Scientist,Indore,15725,7347,27532,17439.951533592488
Software Engineer,Ahmedabad,528195,416618,597916,507267.3801226502
Lead Data Scientist,Bangalore,429150,354113,545964,450038.6573852728
Software Engineer,Bangalore,446064,411308,529326,470317.1020043723
AI Engineer,Hyderabad,102450,63433,155490,109462.17278940392
Software Engineer (Frontend),Trivandrum,474311,335516,697105,516310.99490600335
Cloud Engineer,Surat,146442,122638,169882,146260.44678415052
Data Scientist,Noida,48351,15923,127791,71857.6510139719
Data Scientist,Indore,20289,13927,26143,20035.324889990083
Software Engineer,Delhi,375427,363250,487214,425232.43181133515
Product Manager,Jaipur,187703,172469,206335,189402.59030476186
Machine Learning Engineer,Chennai,179311,151361,194740,173051.29320747455
Full Stack Developer,Bangalore,230209,190453,255149,222801.48047861457
Lead Data Scientist,Bangalore,273565,211041,346083,278562.49212134327
Software Engineer,Trivandrum,1126592,688405,1203361,945883.7881265101
Full Stack Developer,Ahmedabad,155808,107614,189781,148697.8181717943
UI/UX Designer,Jaipur,50238,42221,56483,49352.60490735636
Junior Developer,Bangalore,114015,99635,135937,117786.10612476125
AI Engineer,Visakhapatnam,464074,252731,784591,518661.32351154526
Full Stack Developer,Hyderabad,89640,62548,149500,106024.18750254199
Software Engineer (Frontend),Nagpur,42327,28483,53812,41147.76779338924
Software Engineer (Frontend),Coimbatore,172211,142318,178020,160169.58120965053
Software Engineer,Bangalore,224761,141398,306686,224042.4674985452
DevOps Engineer,Bangalore,151394,310222,761669,535946.0952631797
Software Engineer,Mumbai,54513,37793,84685,61239.31857289505
Software Engineer (Backend),Bangalore,674135,342536,791696,567116.3987024951
Software Engineer,Bangalore,569233,518896,711856,615376.5818650881
Software Engineer,Bangalore,71868,64155,77122,70638.94836509351
Software Engineer,Lucknow,12110,6566,17966,12266.04006574164
AI Engineer,Visakhapatnam,6757,5295,8023,6659.566221395557
Software Engineer,Bangalore,530857,474965,566564,520765.4502399375
Data Engineer,Visakhapatnam,146166,119888,159675,139782.2905635782
Full Stack Developer,Surat,40770,24769,72798,48783.73422262844
Software Engineer,Mumbai,472065,371500,748154,559827.4038383709
Software Engineer (Frontend),Bangalore,845944,842260,1423452,1132856.6186076354
Embedded Systems Engineer,Lucknow,26374,10549,65935,38242.3
Software Engineer (Backend),Mumbai,18499,17582,19415,18498.5
Software Engineer (Frontend),Bangalore,1180915,771332,1572050,1171691.771417297
Software Engineer (Frontend),Mumbai,74778,71364,78191,74777.5
Machine Learning Engineer,Nagpur,157304,138947,178844,158895.66096188102
Full Stack Developer,Noida,175787,152951,245675,199313.16148182302
AR/VR Engineer,Goa,3704,3541,4088,3814.994667688774
Full Stack Developer,Chennai,9455,5350,14642,9996.31312205177
Full Stack Developer,Ahmedabad,417900,318563,481667,400115.1740343026
